date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000049,2000-02-18,MOD11A2,LST_Day_1km,,,,,,,,289,0,0.00
A2000057,2000-02-26,MOD11A2,LST_Day_1km,302.2800,311.2800,88971.5469,9.0000,307.8600,3.1970,1.7880,289,289,100.00
A2000065,2000-03-05,MOD11A2,LST_Day_1km,299.6200,310.6000,88570.8750,10.9800,306.4736,4.7917,2.1890,289,289,100.00
A2000073,2000-03-13,MOD11A2,LST_Day_1km,304.1800,314.6800,89715.9219,10.5000,310.4357,4.7388,2.1769,289,289,100.00
A2000081,2000-03-21,MOD11A2,LST_Day_1km,305.3000,316.4400,90253.6250,11.1400,312.2963,4.4567,2.1111,289,289,100.00
A2000089,2000-03-29,MOD11A2,LST_Day_1km,310.2000,320.6200,91698.6094,10.4200,317.2962,3.6634,1.9140,289,289,100.00
A2000097,2000-04-06,MOD11A2,LST_Day_1km,311.9000,323.6000,92386.5312,11.7000,319.6766,4.2786,2.0685,289,289,100.00
A2000105,2000-04-14,MOD11A2,LST_Day_1km,310.0800,319.6600,91573.1797,9.5800,316.8622,2.6893,1.6399,289,289,100.00
A2000113,2000-04-22,MOD11A2,LST_Day_1km,308.4600,319.3000,91197.2656,10.8400,315.5615,3.3307,1.8250,289,289,100.00
A2000121,2000-04-30,MOD11A2,LST_Day_1km,312.1600,322.7800,92225.1016,10.6200,319.1180,4.0285,2.0071,289,289,100.00
A2000129,2000-05-08,MOD11A2,LST_Day_1km,304.6000,316.5400,90152.1719,11.9400,311.9452,4.4996,2.1212,289,289,100.00
A2000137,2000-05-16,MOD11A2,LST_Day_1km,310.1200,318.6800,91133.5000,8.5600,315.3408,3.0461,1.7453,289,289,100.00
A2000145,2000-05-24,MOD11A2,LST_Day_1km,309.3000,316.8000,90786.2969,7.5000,314.1394,2.2352,1.4951,289,289,100.00
A2000153,2000-06-01,MOD11A2,LST_Day_1km,307.6600,317.4200,90473.3828,9.7600,313.0567,2.9480,1.7170,289,289,100.00
A2000161,2000-06-09,MOD11A2,LST_Day_1km,304.2400,310.7400,89076.3672,6.5000,308.2227,2.1904,1.4800,289,289,100.00
A2000169,2000-06-17,MOD11A2,LST_Day_1km,307.6600,315.4600,90123.5234,7.8000,311.8461,2.4566,1.5673,289,289,100.00
A2000177,2000-06-25,MOD11A2,LST_Day_1km,307.9600,318.1000,90436.3047,10.1400,312.9284,2.2362,1.4954,289,289,100.00
A2000185,2000-07-03,MOD11A2,LST_Day_1km,306.9600,317.5600,90003.0156,10.6000,312.5105,5.1942,2.2791,289,288,99.65
A2000193,2000-07-11,MOD11A2,LST_Day_1km,,,,,,,,289,0,0.00
A2000201,2000-07-19,MOD11A2,LST_Day_1km,298.2800,307.0600,77978.7109,8.7800,303.4191,2.2623,1.5041,289,257,88.93
A2000209,2000-07-27,MOD11A2,LST_Day_1km,297.5800,312.3400,54561.8477,14.7600,304.8148,8.3226,2.8849,289,179,61.94
A2000217,2000-08-04,MOD11A2,LST_Day_1km,304.1200,312.2000,73608.3359,8.0800,309.2787,3.4107,1.8468,289,238,82.35
A2000225,2000-08-12,MOD11A2,LST_Day_1km,,,,,,,,289,0,0.00
A2000233,2000-08-20,MOD11A2,LST_Day_1km,302.1200,310.5800,78054.2109,8.4600,306.0949,3.4028,1.8447,289,255,88.24
A2000241,2000-08-28,MOD11A2,LST_Day_1km,300.7800,312.2000,31326.5801,11.4200,307.1233,7.6650,2.7686,289,102,35.29
A2000249,2000-09-05,MOD11A2,LST_Day_1km,300.3400,309.1200,88285.5781,8.7800,305.4864,4.0992,2.0246,289,289,100.00
A2000257,2000-09-13,MOD11A2,LST_Day_1km,306.5400,313.8000,89713.9062,7.2600,310.4287,2.4279,1.5582,289,289,100.00
A2000265,2000-09-21,MOD11A2,LST_Day_1km,306.4800,311.5000,89231.5078,5.0200,308.7596,1.0936,1.0458,289,289,100.00
A2000273,2000-09-29,MOD11A2,LST_Day_1km,310.2400,316.5600,90699.3828,6.3200,313.8387,1.3281,1.1524,289,289,100.00
A2000281,2000-10-07,MOD11A2,LST_Day_1km,307.8000,313.5000,89945.2031,5.7000,311.2291,1.4317,1.1965,289,289,100.00
A2000289,2000-10-15,MOD11A2,LST_Day_1km,309.6600,317.9600,90980.0625,8.3000,314.8099,2.8511,1.6885,289,289,100.00
A2000297,2000-10-23,MOD11A2,LST_Day_1km,306.9800,314.7800,90135.0625,7.8000,311.8860,2.4819,1.5754,289,289,100.00
A2000305,2000-10-31,MOD11A2,LST_Day_1km,305.5000,313.6200,89642.3672,8.1200,310.1812,3.2426,1.8007,289,289,100.00
A2000313,2000-11-08,MOD11A2,LST_Day_1km,304.8000,312.1800,89293.2656,7.3800,308.9732,2.8858,1.6988,289,289,100.00
A2000321,2000-11-16,MOD11A2,LST_Day_1km,300.7400,307.5200,88105.0000,6.7800,304.8616,2.0526,1.4327,289,289,100.00
A2000329,2000-11-24,MOD11A2,LST_Day_1km,298.8600,306.5000,87600.1953,7.6400,303.1149,3.0940,1.7590,289,289,100.00
A2000337,2000-12-02,MOD11A2,LST_Day_1km,298.7800,307.0200,87738.9062,8.2400,303.5948,3.1049,1.7621,289,289,100.00
A2000345,2000-12-10,MOD11A2,LST_Day_1km,297.2400,305.8800,87284.3438,8.6400,302.0219,3.1539,1.7759,289,289,100.00
A2000353,2000-12-18,MOD11A2,LST_Day_1km,296.5200,303.9400,86955.2188,7.4200,300.8831,2.4806,1.5750,289,289,100.00
A2000361,2000-12-26,MOD11A2,LST_Day_1km,296.4400,303.0200,86797.3828,6.5800,300.3370,2.0177,1.4205,289,289,100.00
A2001001,2001-01-01,MOD11A2,LST_Day_1km,293.6000,301.4800,86037.0703,7.8800,297.7061,3.6727,1.9164,289,289,100.00
A2001009,2001-01-09,MOD11A2,LST_Day_1km,295.1800,302.1800,86394.8828,7.0000,298.9442,2.3744,1.5409,289,289,100.00
A2001017,2001-01-17,MOD11A2,LST_Day_1km,296.0000,303.6600,86806.4922,7.6600,300.3685,2.8924,1.7007,289,289,100.00
A2001025,2001-01-25,MOD11A2,LST_Day_1km,298.1400,305.4600,87299.9609,7.3200,302.0760,2.7363,1.6542,289,289,100.00
A2001033,2001-02-02,MOD11A2,LST_Day_1km,297.4000,305.8200,87339.5625,8.4200,302.2130,3.2011,1.7892,289,289,100.00
A2001041,2001-02-10,MOD11A2,LST_Day_1km,298.7600,306.4000,87622.4062,7.6400,303.1917,2.4316,1.5593,289,289,100.00
A2001049,2001-02-18,MOD11A2,LST_Day_1km,301.1200,310.2000,88578.9688,9.0800,306.5016,2.8726,1.6949,289,289,100.00
A2001057,2001-02-26,MOD11A2,LST_Day_1km,301.0600,309.4000,88252.2422,8.3400,305.3711,2.3892,1.5457,289,289,100.00
A2001065,2001-03-06,MOD11A2,LST_Day_1km,304.8400,314.8000,89892.4844,9.9600,311.0467,4.0676,2.0168,289,289,100.00
A2001073,2001-03-14,MOD11A2,LST_Day_1km,306.6000,315.4000,90088.5000,8.8000,311.7249,2.9792,1.7260,289,289,100.00
A2001081,2001-03-22,MOD11A2,LST_Day_1km,306.9800,317.1800,90493.9375,10.2000,313.1278,3.7442,1.9350,289,289,100.00
A2001089,2001-03-30,MOD11A2,LST_Day_1km,308.1200,318.7000,90810.4141,10.5800,314.2229,5.7178,2.3912,289,289,100.00
A2001097,2001-04-07,MOD11A2,LST_Day_1km,309.2600,321.5400,91407.3594,12.2800,316.2885,4.3740,2.0914,289,289,100.00
A2001105,2001-04-15,MOD11A2,LST_Day_1km,307.9000,320.7800,90565.0234,12.8800,313.3738,8.7949,2.9656,289,289,100.00
A2001113,2001-04-23,MOD11A2,LST_Day_1km,314.1800,323.0600,92384.0547,8.8800,319.6680,2.9552,1.7191,289,289,100.00
A2001121,2001-05-01,MOD11A2,LST_Day_1km,314.3200,322.4600,92196.2031,8.1400,319.0180,2.5630,1.6009,289,289,100.00
A2001129,2001-05-09,MOD11A2,LST_Day_1km,312.2800,319.4800,91491.1562,7.2000,316.5784,1.9763,1.4058,289,289,100.00
A2001137,2001-05-17,MOD11A2,LST_Day_1km,304.6600,311.4000,88996.8672,6.7400,307.9476,2.8539,1.6894,289,289,100.00
A2001145,2001-05-25,MOD11A2,LST_Day_1km,311.9600,318.6800,91369.8047,6.7200,316.1585,2.3194,1.5229,289,289,100.00
A2001153,2001-06-02,MOD11A2,LST_Day_1km,307.7600,313.8400,89843.3516,6.0800,310.8766,2.1314,1.4599,289,289,100.00
A2001161,2001-06-10,MOD11A2,LST_Day_1km,308.6200,318.4600,90518.5625,9.8400,313.2130,4.2651,2.0652,289,289,100.00
A2001177,2001-06-26,MOD11A2,LST_Day_1km,,,,,,,,289,0,0.00
A2001185,2001-07-04,MOD11A2,LST_Day_1km,300.9200,310.2000,35218.5742,9.2800,306.2485,3.4738,1.8638,289,115,39.79
A2001193,2001-07-12,MOD11A2,LST_Day_1km,298.0400,303.2600,33965.8594,5.2200,300.5828,1.3185,1.1483,289,113,39.10
A2001201,2001-07-20,MOD11A2,LST_Day_1km,,,,,,,,289,0,0.00
A2001209,2001-07-28,MOD11A2,LST_Day_1km,289.9400,304.1000,58432.0391,14.1600,299.6515,7.7875,2.7906,289,195,67.47
A2001217,2001-08-05,MOD11A2,LST_Day_1km,297.6200,312.7400,79982.1641,15.1200,304.1147,7.3924,2.7189,289,263,91.00
A2001225,2001-08-13,MOD11A2,LST_Day_1km,300.8000,305.7200,8498.4209,4.9200,303.5150,2.1099,1.4525,289,28,9.69
A2001233,2001-08-21,MOD11A2,LST_Day_1km,298.8000,307.3400,87638.3750,8.5400,303.2470,4.0224,2.0056,289,289,100.00
A2001241,2001-08-29,MOD11A2,LST_Day_1km,299.3400,308.4400,87864.2422,9.1000,304.0285,4.4454,2.1084,289,289,100.00
A2001249,2001-09-06,MOD11A2,LST_Day_1km,303.3800,311.5200,88734.1406,8.1400,307.0385,3.8736,1.9681,289,289,100.00
A2001257,2001-09-14,MOD11A2,LST_Day_1km,306.2600,315.7800,89757.6641,9.5200,310.5801,5.9842,2.4463,289,289,100.00
A2001265,2001-09-22,MOD11A2,LST_Day_1km,309.4000,319.0200,90758.6328,9.6200,314.0437,6.8713,2.6213,289,289,100.00
A2001273,2001-09-30,MOD11A2,LST_Day_1km,306.9400,318.0400,90133.1797,11.1000,311.8795,7.5845,2.7540,289,289,100.00
A2001281,2001-10-08,MOD11A2,LST_Day_1km,305.6600,314.1800,89151.5703,8.5200,308.4829,2.4758,1.5735,289,289,100.00
A2001289,2001-10-16,MOD11A2,LST_Day_1km,306.8000,314.2400,89699.9844,7.4400,310.3806,3.1232,1.7673,289,289,100.00
A2001297,2001-10-24,MOD11A2,LST_Day_1km,306.6200,313.7600,89700.1562,7.1400,310.3812,2.6464,1.6268,289,289,100.00
A2001305,2001-11-01,MOD11A2,LST_Day_1km,303.7800,311.4600,89033.8828,7.6800,308.0757,2.7781,1.6667,289,289,100.00
A2001313,2001-11-09,MOD11A2,LST_Day_1km,302.2000,309.9200,88509.2734,7.7200,306.2605,2.9495,1.7174,289,289,100.00
A2001321,2001-11-17,MOD11A2,LST_Day_1km,301.8800,310.1000,88483.9609,8.2200,306.1729,3.1311,1.7695,289,289,100.00
A2001329,2001-11-25,MOD11A2,LST_Day_1km,300.0800,307.4400,87809.6875,7.3600,303.8398,2.8516,1.6887,289,289,100.00
A2001337,2001-12-03,MOD11A2,LST_Day_1km,300.0400,307.8000,87942.8984,7.7600,304.3007,2.7647,1.6627,289,289,100.00
