date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000049,2000-02-18,MOD11A2,LST_Night_1km,279.1800,287.1600,81365.6875,7.9800,283.5042,3.9047,1.9760,289,287,99.31
A2000057,2000-02-26,MOD11A2,LST_Night_1km,286.4600,290.8400,83472.2500,4.3800,288.8313,0.9664,0.9830,289,289,100.00
A2000065,2000-03-05,MOD11A2,LST_Night_1km,283.8600,289.2600,82915.6953,5.4000,286.9055,2.0321,1.4255,289,289,100.00
A2000073,2000-03-13,MOD11A2,LST_Night_1km,285.3600,291.4400,83473.8203,6.0800,288.8368,1.6505,1.2847,289,289,100.00
A2000081,2000-03-21,MOD11A2,LST_Night_1km,286.6600,292.8000,83868.1328,6.1400,290.2011,2.3463,1.5318,289,289,100.00
A2000089,2000-03-29,MOD11A2,LST_Night_1km,290.0200,296.4600,84881.5625,6.4400,293.7078,2.6227,1.6195,289,289,100.00
A2000097,2000-04-06,MOD11A2,LST_Night_1km,291.9400,298.2000,85377.4453,6.2600,295.4237,2.4071,1.5515,289,289,100.00
A2000105,2000-04-14,MOD11A2,LST_Night_1km,293.6000,297.7200,85485.7500,4.1200,295.7984,0.7572,0.8702,289,289,100.00
A2000113,2000-04-22,MOD11A2,LST_Night_1km,297.7600,300.3200,86409.0078,2.5600,298.9931,0.2088,0.4570,289,289,100.00
A2000121,2000-04-30,MOD11A2,LST_Night_1km,294.5200,301.1600,86430.4688,6.6400,299.0674,1.3277,1.1523,289,289,100.00
A2000129,2000-05-08,MOD11A2,LST_Night_1km,296.9000,300.7800,86530.2109,3.8800,299.4125,0.4778,0.6912,289,289,100.00
A2000137,2000-05-16,MOD11A2,LST_Night_1km,300.1000,302.4400,87032.2812,2.3400,301.1497,0.2516,0.5016,289,289,100.00
A2000145,2000-05-24,MOD11A2,LST_Night_1km,300.2600,302.9600,87195.3125,2.7000,301.7139,0.2749,0.5243,289,289,100.00
A2000153,2000-06-01,MOD11A2,LST_Night_1km,300.6000,303.0000,87259.6641,2.4000,301.9366,0.1547,0.3934,289,289,100.00
A2000161,2000-06-09,MOD11A2,LST_Night_1km,294.7600,297.6800,85726.3828,2.9200,296.6311,0.3129,0.5594,289,289,100.00
A2000169,2000-06-17,MOD11A2,LST_Night_1km,295.7400,299.1000,85925.9375,3.3600,297.3216,0.3995,0.6321,289,289,100.00
A2000177,2000-06-25,MOD11A2,LST_Night_1km,297.3600,300.4200,86243.3438,3.0600,298.4199,0.2106,0.4589,289,289,100.00
A2000185,2000-07-03,MOD11A2,LST_Night_1km,296.3400,301.7600,86651.2109,5.4200,299.8312,1.7237,1.3129,289,289,100.00
A2000193,2000-07-11,MOD11A2,LST_Night_1km,,,,,,,,289,0,0.00
A2000201,2000-07-19,MOD11A2,LST_Night_1km,290.0400,294.5200,84666.2188,4.4800,292.9627,0.4747,0.6890,289,289,100.00
A2000209,2000-07-27,MOD11A2,LST_Night_1km,292.5600,296.0400,85133.6250,3.4800,294.5800,0.3445,0.5869,289,289,100.00
A2000217,2000-08-04,MOD11A2,LST_Night_1km,294.1800,296.6000,85373.0469,2.4200,295.4085,0.1990,0.4461,289,289,100.00
A2000225,2000-08-12,MOD11A2,LST_Night_1km,,,,,,,,289,0,0.00
A2000233,2000-08-20,MOD11A2,LST_Night_1km,297.4600,299.8600,86306.4531,2.4000,298.6382,0.3487,0.5905,289,289,100.00
A2000241,2000-08-28,MOD11A2,LST_Night_1km,291.2200,295.6200,84580.3828,4.4000,292.6657,0.3570,0.5975,289,289,100.00
A2000249,2000-09-05,MOD11A2,LST_Night_1km,293.5200,296.3800,85380.4219,2.8600,295.4340,0.2184,0.4674,289,289,100.00
A2000257,2000-09-13,MOD11A2,LST_Night_1km,295.9000,298.7800,86013.2500,2.8800,297.6237,0.3257,0.5707,289,289,100.00
A2000265,2000-09-21,MOD11A2,LST_Night_1km,294.4400,297.4200,85505.7031,2.9800,295.8675,0.4485,0.6697,289,289,100.00
A2000273,2000-09-29,MOD11A2,LST_Night_1km,293.1800,298.3600,85573.7656,5.1800,296.1030,2.0482,1.4312,289,289,100.00
A2000281,2000-10-07,MOD11A2,LST_Night_1km,291.7800,298.0400,85268.3906,6.2600,295.0463,2.7833,1.6683,289,289,100.00
A2000289,2000-10-15,MOD11A2,LST_Night_1km,290.5600,298.1600,85169.6172,7.6000,294.7046,3.4986,1.8704,289,289,100.00
A2000297,2000-10-23,MOD11A2,LST_Night_1km,290.7200,296.0000,84750.0859,5.2800,293.2529,1.8456,1.3585,289,289,100.00
A2000305,2000-10-31,MOD11A2,LST_Night_1km,287.4200,293.9200,83850.6250,6.5000,291.1480,2.2008,1.4835,289,288,99.65
A2000313,2000-11-08,MOD11A2,LST_Night_1km,285.0400,293.7000,83709.8125,8.6600,290.6591,3.0268,1.7398,289,288,99.65
A2000321,2000-11-16,MOD11A2,LST_Night_1km,284.7600,290.6000,83319.2344,5.8400,288.3018,2.4029,1.5501,289,289,100.00
A2000329,2000-11-24,MOD11A2,LST_Night_1km,280.9400,288.9600,82361.6406,8.0200,284.9884,2.8958,1.7017,289,289,100.00
A2000337,2000-12-02,MOD11A2,LST_Night_1km,280.2800,288.6800,82358.0156,8.4000,284.9758,3.8579,1.9642,289,289,100.00
A2000345,2000-12-10,MOD11A2,LST_Night_1km,282.1800,288.8400,82544.1484,6.6600,285.6199,3.0061,1.7338,289,289,100.00
A2000353,2000-12-18,MOD11A2,LST_Night_1km,279.0800,286.4400,81791.8984,7.3600,283.0169,4.1451,2.0359,289,289,100.00
A2000361,2000-12-26,MOD11A2,LST_Night_1km,279.8200,287.0400,82009.3906,7.2200,283.7695,3.4649,1.8614,289,289,100.00
A2001001,2001-01-01,MOD11A2,LST_Night_1km,278.5200,284.1800,81464.0156,5.6600,281.8824,2.0885,1.4452,289,289,100.00
A2001009,2001-01-09,MOD11A2,LST_Night_1km,277.0600,284.3400,81308.0312,7.2800,281.3427,3.4935,1.8691,289,289,100.00
A2001017,2001-01-17,MOD11A2,LST_Night_1km,279.7000,285.9000,81826.0469,6.2000,283.1351,2.5994,1.6123,289,289,100.00
A2001025,2001-01-25,MOD11A2,LST_Night_1km,279.6800,287.3200,82121.4453,7.6400,284.1573,3.3346,1.8261,289,289,100.00
A2001033,2001-02-02,MOD11A2,LST_Night_1km,277.8200,286.6800,81861.6406,8.8600,283.2583,4.2707,2.0666,289,289,100.00
A2001041,2001-02-10,MOD11A2,LST_Night_1km,282.1800,288.2800,82542.4141,6.1000,285.6139,1.6204,1.2729,289,289,100.00
A2001049,2001-02-18,MOD11A2,LST_Night_1km,286.4400,291.1200,83546.3438,4.6800,289.0877,1.2254,1.1070,289,289,100.00
A2001057,2001-02-26,MOD11A2,LST_Night_1km,282.3600,289.0000,82628.1953,6.6400,285.9107,2.8617,1.6916,289,289,100.00
A2001065,2001-03-06,MOD11A2,LST_Night_1km,285.9200,292.3600,83659.6875,6.4400,289.4799,2.9382,1.7141,289,289,100.00
A2001073,2001-03-14,MOD11A2,LST_Night_1km,288.9000,293.3000,84183.8281,4.4000,291.2935,1.3133,1.1460,289,289,100.00
A2001081,2001-03-22,MOD11A2,LST_Night_1km,289.7400,293.7200,84317.2891,3.9800,291.7553,0.8125,0.9014,289,289,100.00
A2001089,2001-03-30,MOD11A2,LST_Night_1km,289.6600,295.0200,84508.7031,5.3600,292.4177,1.6795,1.2960,289,289,100.00
A2001097,2001-04-07,MOD11A2,LST_Night_1km,292.0800,297.6200,85160.2500,5.5400,294.6721,1.2652,1.1248,289,289,100.00
A2001105,2001-04-15,MOD11A2,LST_Night_1km,290.0000,294.7800,84532.7969,4.7800,292.5010,1.0643,1.0316,289,289,100.00
A2001113,2001-04-23,MOD11A2,LST_Night_1km,293.9400,301.1600,86260.2422,7.2200,298.4783,1.7938,1.3393,289,289,100.00
A2001121,2001-05-01,MOD11A2,LST_Night_1km,297.8200,302.5800,86735.4375,4.7600,300.1226,0.9659,0.9828,289,289,100.00
A2001129,2001-05-09,MOD11A2,LST_Night_1km,299.4000,302.1600,86954.7109,2.7600,300.8813,0.1746,0.4179,289,289,100.00
A2001137,2001-05-17,MOD11A2,LST_Night_1km,295.5800,298.6000,85688.1406,3.0200,296.4987,0.2715,0.5210,289,289,100.00
A2001145,2001-05-25,MOD11A2,LST_Night_1km,298.3800,301.5400,86773.8828,3.1600,300.2556,0.2620,0.5119,289,289,100.00
A2001153,2001-06-02,MOD11A2,LST_Night_1km,295.5000,298.7400,85628.8047,3.2400,296.2935,0.2087,0.4569,289,289,100.00
A2001161,2001-06-10,MOD11A2,LST_Night_1km,293.9000,300.2400,86213.0859,6.3400,298.3152,1.7205,1.3117,289,289,100.00
A2001177,2001-06-26,MOD11A2,LST_Night_1km,,,,,,,,289,0,0.00
A2001185,2001-07-04,MOD11A2,LST_Night_1km,292.2800,298.2400,85769.0469,5.9600,296.7787,1.2347,1.1112,289,289,100.00
A2001193,2001-07-12,MOD11A2,LST_Night_1km,289.3400,294.8800,83891.2812,5.5400,292.3041,1.3283,1.1525,289,287,99.31
A2001201,2001-07-20,MOD11A2,LST_Night_1km,,,,,,,,289,0,0.00
A2001209,2001-07-28,MOD11A2,LST_Night_1km,291.3000,296.0000,66481.6250,4.7000,294.1665,0.7317,0.8554,289,226,78.20
A2001217,2001-08-05,MOD11A2,LST_Night_1km,,,,,,,,289,0,0.00
A2001225,2001-08-13,MOD11A2,LST_Night_1km,281.5200,292.6000,69010.8828,11.0800,289.9617,8.3617,2.8917,289,238,82.35
A2001233,2001-08-21,MOD11A2,LST_Night_1km,294.7400,296.6200,85415.5000,1.8800,295.5554,0.1857,0.4309,289,289,100.00
A2001241,2001-08-29,MOD11A2,LST_Night_1km,294.2600,296.4800,85315.1562,2.2200,295.2082,0.2061,0.4540,289,289,100.00
A2001249,2001-09-06,MOD11A2,LST_Night_1km,295.3800,298.1800,85790.4531,2.8000,296.8528,0.3166,0.5627,289,289,100.00
A2001257,2001-09-14,MOD11A2,LST_Night_1km,296.3200,299.6000,86095.6719,3.2800,297.9089,0.5231,0.7233,289,289,100.00
A2001265,2001-09-22,MOD11A2,LST_Night_1km,293.4400,298.4200,85547.9609,4.9800,296.0137,1.7045,1.3056,289,289,100.00
