MYD11A2.A2002185.h24v06.006.2015146152714.Clear_sky_days,MYD11A2,A2002185,Lat26.44598Lon74.63502Samp17Line17,2015146152714,Clear_sky_days,218,218,218,219,219,219,219,219,219,219,219,219,219,219,219,219,217,218,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,217,218,218,219,219,219,219,219,219,219,219,219,219,219,219,219,217,217,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,217,217,218,219,219,219,219,200,219,219,219,219,219,217,217,217,217,217,217,218,219,219,219,219,219,216,219,219,219,219,217,217,217,217,217,217,218,218,219,219,219,219,219,219,219,219,219,219,219,219,217,217,217,218,218,218,219,219,219,219,219,217,219,219,219,217,217,217,217,217,219,219,216,216,219,217,217,217,217,217,217,217,217,217,217,217,217,219,217,217,216,216,219,217,216,217,217,201,217,217,217,217,217,217,219,217,217,219,216,216,216,216,216,216,216,217,217,217,217,217,217,219,217,219,217,217,216,216,216,216,216,216,216,216,217,217,248,249,219,217,217,217,217,217,217,217,217,217,217,217,216,200,201,217,249,217,217,217,217,217,217,217,217,217,217,217,217,216,216,216,249,249,217,217,217,217,217,217,217,217,217,217,217,217,217,216,217,249,249,249,217,217,217,217,217,217,217,217,217,217,217,217,217,217,249,249,249,249,249,217,217,217,217,217,217,217,217,217,216,216,249,249,249
MYD11A2.A2002185.h24v06.006.2015146152714.Clear_sky_nights,MYD11A2,A2002185,Lat26.44598Lon74.63502Samp17Line17,2015146152714,Clear_sky_nights,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,238,238,254,254,254,254,254,254,254,254,252,252,254,254,255,255,255,255,255,254,252,252,252,252,252,252,252,252,252,252,252,255,255,255,255,255,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,253,237,252,252,252,252,252,236,252,252,252,252,252,252,252,252,252,252,237,252,252,252,252,252,252,236,252,252,252,252,252,252,252,253,252,253,236,252,252,252,252,252,252,252,252,252,252,253,253,253,253,253,253,252,252,236,252,252,252,252,252,252,252,252,253,253,253,253,253,253,252,252,252,252,252,252,252,252,252,252,252,252,252,252,253,253,253,252,252,252,252,252,252,252,252,252,252,252,252,252,252,253,253,253,252,252,252,252,252,252,252,252,252,252,252,252,252,252,253,253,253,252,236,236,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,236,252,252,252,252,252,252,252,252,252,252,252,252,252,252,236,236,236,252,252,252,252,252,252,252,252,252,252,252,252,252,252,236,236,236,236,252,252,252,252,252,252,252,252,252,252,252,252,252,237,236,237,236,252,252,252,252,252,252,252,252,252,252,252,252,252,236,237,236,253,236,252,252,252,252,252,252,252,252,252,252,252,252
MYD11A2.A2002185.h24v06.006.2015146152714.Day_view_angl,MYD11A2,A2002185,Lat26.44598Lon74.63502Samp17Line17,2015146152714,Day_view_angl,78,78,78,67,67,67,67,67,68,68,68,68,68,68,68,68,64,78,67,67,67,67,67,67,67,67,68,68,68,68,68,68,68,64,78,78,67,67,67,67,67,67,67,67,68,68,68,68,68,64,64,67,67,67,67,67,67,67,67,67,67,67,68,68,68,68,64,64,78,67,67,67,67,61,67,67,67,67,67,64,64,64,64,64,64,78,67,67,67,67,67,77,67,67,67,67,64,64,64,64,64,64,78,78,67,67,67,67,67,67,67,67,67,67,67,68,64,64,64,78,78,78,67,67,67,67,67,63,67,67,67,64,64,64,64,64,67,67,77,77,67,63,63,63,63,63,64,64,64,64,64,64,64,67,63,63,77,77,67,63,77,63,63,48,64,64,64,64,64,64,66,63,63,67,77,77,77,77,77,77,77,64,64,64,64,64,64,66,63,67,63,63,77,77,77,77,77,77,77,77,64,64,69,59,66,63,63,63,63,63,63,63,63,63,63,63,77,61,49,64,59,63,63,63,63,63,63,63,63,63,63,63,63,77,77,77,59,59,63,63,63,63,63,63,63,63,63,63,63,63,63,77,64,59,59,58,63,63,63,63,63,63,63,63,63,63,63,63,63,63,58,59,58,58,58,63,63,63,63,63,63,63,63,63,77,77,58,58,59
MYD11A2.A2002185.h24v06.006.2015146152714.Day_view_time,MYD11A2,A2002185,Lat26.44598Lon74.63502Samp17Line17,2015146152714,Day_view_time,134,134,134,133,133,133,133,133,133,133,134,134,134,134,134,134,133,134,133,133,133,133,133,133,133,133,133,134,134,134,134,134,134,133,134,134,133,133,133,133,133,133,133,133,133,134,134,134,134,133,133,133,133,133,133,133,133,133,133,133,133,133,134,134,134,134,133,133,134,133,133,133,133,132,133,133,133,133,133,133,133,133,133,133,133,134,133,133,133,133,133,134,133,133,133,133,133,133,133,133,133,133,134,134,133,133,133,133,133,133,133,133,133,133,133,134,133,133,133,134,134,134,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,134,134,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,134,134,133,133,134,133,133,131,133,133,133,133,133,133,133,133,133,133,134,134,134,134,134,134,134,133,133,133,133,133,133,133,133,133,133,133,134,134,134,134,134,134,134,134,133,133,134,133,133,133,133,133,133,133,133,133,133,133,133,133,134,132,131,133,133,133,133,133,133,133,133,133,133,133,133,133,133,134,134,134,132,133,133,133,133,133,133,133,133,133,133,133,133,133,133,134,133,132,132,132,133,133,133,133,133,133,133,133,133,133,133,133,133,133,132,132,132,132,132,133,133,133,133,133,133,133,133,133,134,134,132,132,132
MYD11A2.A2002185.h24v06.006.2015146152714.Emis_31,MYD11A2,A2002185,Lat26.44598Lon74.63502Samp17Line17,2015146152714,Emis_31,247,247,247,247,247,246,247,247,247,247,247,247,247,246,247,247,247,246,246,246,246,246,246,246,246,246,246,247,247,247,247,247,247,246,247,246,247,247,246,245,245,245,244,246,246,247,247,247,247,247,247,246,247,247,247,247,247,246,244,244,245,246,246,247,246,246,247,247,247,247,247,247,247,248,248,246,245,244,246,246,246,246,246,246,247,246,247,247,247,246,246,247,247,246,246,245,246,246,245,245,246,246,247,247,246,247,247,247,246,245,245,246,245,244,242,243,243,245,246,247,247,247,247,247,247,246,244,242,244,245,244,242,242,243,244,246,247,246,247,246,247,247,247,245,242,241,243,245,245,244,242,243,245,247,246,247,246,247,247,246,246,243,242,242,244,245,244,243,243,245,247,247,247,247,246,247,247,246,245,243,244,244,245,244,243,243,245,247,247,247,247,247,246,247,246,246,245,244,244,244,243,243,245,246,247,247,247,247,246,247,247,246,246,245,245,243,242,242,243,245,246,247,247,247,247,246,247,247,246,246,246,246,246,245,245,244,246,246,247,247,247,247,246,247,246,247,246,246,247,246,247,246,246,246,246,247,247,247,247,247,247,246,247,247,247,247,247,247,247,247,247,246,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247
MYD11A2.A2002185.h24v06.006.2015146152714.Emis_32,MYD11A2,A2002185,Lat26.44598Lon74.63502Samp17Line17,2015146152714,Emis_32,248,248,248,248,248,248,248,248,248,249,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,246,247,247,246,248,248,248,248,248,248,248,248,248,248,248,248,247,247,246,245,245,247,248,248,248,248,248,248,248,248,248,248,248,247,247,247,247,247,246,248,248,248,248,248,248,248,248,248,248,248,247,246,246,246,248,248,247,248,247,247,247,248,248,248,249,248,248,247,247,246,246,246,248,247,246,244,245,245,247,248,249,249,248,248,248,248,247,245,244,246,247,245,244,244,245,246,248,248,248,248,248,248,248,248,247,244,244,245,247,247,246,244,245,247,248,248,248,248,248,248,248,248,245,244,244,246,247,246,245,245,247,248,249,248,248,248,248,248,248,247,245,246,246,247,246,245,245,247,248,248,248,249,248,248,249,248,248,247,246,247,246,245,245,247,248,249,248,248,248,248,248,248,248,248,247,247,246,245,244,245,247,248,248,248,249,249,248,248,248,248,248,248,248,248,247,247,246,247,248,248,248,249,248,248,249,249,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,249,248,248,248,248,248,248,248,248,248,248,248,248,249,248,249,249,248,248,248,248,249,248
MYD11A2.A2002185.h24v06.006.2015146152714.LST_Day_1km,MYD11A2,A2002185,Lat26.44598Lon74.63502Samp17Line17,2015146152714,LST_Day_1km,15610,15566,15583,15594,15602,15611,15615,15630,15644,15660,15697,15715,15714,15697,15689,15682,15754,15558,15493,15518,15546,15565,15580,15590,15598,15621,15654,15675,15707,15716,15709,15691,15680,15742,15483,15482,15480,15526,15521,15526,15519,15511,15562,15617,15659,15686,15706,15703,15687,15755,15748,15382,15397,15456,15499,15489,15481,15481,15488,15512,15579,15625,15671,15686,15694,15687,15759,15755,15421,15383,15445,15472,15466,15581,15418,15458,15488,15533,15583,15715,15750,15750,15754,15756,15764,15456,15439,15462,15462,15454,15413,15482,15408,15477,15502,15531,15659,15706,15720,15711,15733,15747,15486,15530,15507,15492,15445,15420,15382,15393,15437,15473,15474,15530,15573,15598,15680,15695,15735,15504,15547,15585,15522,15497,15444,15427,15420,15510,15449,15467,15475,15625,15656,15665,15676,15713,15504,15539,15690,15672,15503,15528,15480,15479,15503,15518,15528,15561,15582,15631,15654,15677,15698,15553,15654,15647,15693,15619,15430,15442,15485,15474,15504,15546,15574,15589,15623,15648,15680,15694,15594,15694,15681,15547,15618,15551,15524,15503,15532,15576,15575,15557,15590,15607,15637,15672,15702,15589,15701,15616,15634,15568,15576,15576,15589,15600,15614,15603,15570,15597,15606,15627,15665,15657,15573,15662,15650,15620,15570,15556,15635,15664,15648,15638,15614,15560,15570,15691,15696,15669,15644,15641,15645,15630,15602,15581,15588,15653,15707,15720,15671,15629,15586,15556,15621,15699,15649,15645,15687,15655,15642,15592,15562,15588,15656,15709,15733,15715,15639,15579,15555,15641,15697,15651,15659,15758,15719,15684,15665,15622,15627,15679,15739,15748,15733,15675,15595,15582,15646,15713,15674,15666,15782,15744,15708,15751,15738,15689,15694,15726,15751,15739,15703,15671,15681,15701,15659,15668,15674
MYD11A2.A2002185.h24v06.006.2015146152714.LST_Night_1km,MYD11A2,A2002185,Lat26.44598Lon74.63502Samp17Line17,2015146152714,LST_Night_1km,14683,14702,14710,14713,14711,14714,14715,14725,14727,14728,14725,14721,14720,14719,14719,14736,14735,14701,14709,14717,14719,14720,14719,14727,14732,14787,14786,14732,14729,14669,14665,14663,14663,14662,14704,14759,14766,14769,14776,14786,14795,14805,14809,14799,14795,14786,14669,14669,14665,14658,14655,14755,14753,14758,14763,14758,14767,14783,14805,14812,14808,14803,14796,14787,14779,14774,14703,14716,14760,14759,14759,14758,14758,14777,14760,14791,14808,14807,14803,14795,14781,14781,14781,14775,14719,14758,14757,14760,14761,14759,14770,14789,14789,14806,14806,14804,14801,14794,14792,14717,14780,14698,14781,14756,14757,14758,14756,14765,14784,14802,14817,14816,14812,14741,14736,14732,14725,14715,14703,14759,14756,14783,14753,14755,14765,14784,14799,14822,14821,14818,14746,14739,14733,14726,14718,14700,14752,14753,14749,14750,14755,14763,14770,14784,14805,14822,14823,14815,14807,14798,14728,14719,14707,14742,14743,14746,14749,14755,14757,14761,14771,14786,14804,14812,14807,14802,14793,14723,14715,14709,14732,14732,14738,14748,14760,14764,14759,14765,14776,14788,14797,14799,14791,14786,14708,14704,14695,14741,14768,14765,14745,14752,14763,14766,14767,14774,14777,14783,14783,14777,14775,14773,14757,14751,14754,14753,14783,14748,14749,14755,14763,14767,14771,14774,14776,14780,14778,14767,14765,14749,14736,14794,14786,14786,14760,14755,14755,14766,14770,14765,14765,14765,14765,14761,14752,14754,14751,14736,14783,14770,14773,14781,14759,14761,14766,14769,14764,14753,14751,14751,14746,14745,14738,14741,14740,14701,14759,14675,14756,14744,14753,14764,14763,14762,14752,14741,14737,14728,14730,14726,14724,14728,14782,14690,14759,14660,14761,14740,14752,14758,14758,14753,14745,14738,14736,14734,14727,14720,14720
MYD11A2.A2002185.h24v06.006.2015146152714.Night_view_angl,MYD11A2,A2002185,Lat26.44598Lon74.63502Samp17Line17,2015146152714,Night_view_angl,63,64,64,64,64,64,64,64,64,64,64,64,64,64,64,59,59,63,63,64,64,64,64,64,64,70,70,64,64,71,71,71,72,72,63,69,69,69,69,69,70,70,70,70,70,70,71,71,71,71,72,69,69,69,69,69,69,70,70,70,70,70,70,70,70,70,77,75,69,69,69,69,69,64,69,70,70,70,70,70,70,70,70,70,75,69,69,69,69,69,69,64,70,70,70,70,70,70,70,77,70,77,64,69,69,69,69,69,69,70,70,70,70,77,77,77,77,77,77,69,69,64,69,69,69,69,69,70,70,70,77,77,77,77,77,77,69,69,69,69,69,69,69,69,70,70,70,70,70,70,77,77,77,69,69,69,69,69,69,69,69,70,70,70,70,70,70,77,77,77,69,69,69,69,69,69,69,69,70,70,70,70,70,70,77,77,77,69,64,64,69,69,69,69,69,69,70,70,70,70,70,70,70,70,69,69,64,69,69,69,69,69,69,70,70,70,70,70,70,70,70,64,64,64,69,69,69,69,69,69,69,70,70,70,70,70,70,70,64,64,64,64,69,69,69,69,69,69,70,70,70,70,70,70,70,74,64,74,64,69,69,69,69,69,69,70,70,70,70,70,70,70,64,74,64,77,64,69,69,69,69,69,69,70,70,70,70,70,70
MYD11A2.A2002185.h24v06.006.2015146152714.Night_view_time,MYD11A2,A2002185,Lat26.44598Lon74.63502Samp17Line17,2015146152714,Night_view_time,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,19,20,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,19,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,19,20,19,19,19,19,19,19,19,19,19,19,19,19,19
