date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2002185,2002-07-04,MYD11A2,LST_Day_1km,307.6400,315.6400,90196.8984,8.0000,312.1000,3.6409,1.9081,289,289,100.00
A2002193,2002-07-12,MYD11A2,LST_Day_1km,308.8800,324.5600,84603.8359,15.6800,316.8683,9.0948,3.0158,289,267,92.39
A2002201,2002-07-20,MYD11A2,LST_Day_1km,305.7600,313.5200,83718.5000,7.7600,308.9243,2.6316,1.6222,289,271,93.77
A2002209,2002-07-28,MYD11A2,LST_Day_1km,312.3800,321.0800,81927.0078,8.7000,316.3205,4.0340,2.0085,289,259,89.62
A2002217,2002-08-05,MYD11A2,LST_Day_1km,311.2400,322.5200,90186.4609,11.2800,316.4437,5.8253,2.4136,289,285,98.62
A2002225,2002-08-13,MYD11A2,LST_Day_1km,304.1600,316.5400,69854.3281,12.3800,309.0899,6.1640,2.4827,289,226,78.20
A2002233,2002-08-21,MYD11A2,LST_Day_1km,306.0400,319.7200,88709.7656,13.6800,312.3583,6.0547,2.4606,289,284,98.27
A2002241,2002-08-29,MYD11A2,LST_Day_1km,302.6800,313.3400,87680.0234,10.6600,307.6492,1.9642,1.4015,289,285,98.62
A2002249,2002-09-06,MYD11A2,LST_Day_1km,306.6200,318.4800,90013.3203,11.8600,311.4648,5.5214,2.3498,289,289,100.00
A2002257,2002-09-14,MYD11A2,LST_Day_1km,309.6400,318.6400,90696.7734,9.0000,313.8297,3.6565,1.9122,289,289,100.00
A2002265,2002-09-22,MYD11A2,LST_Day_1km,311.8000,320.4800,91409.2812,8.6800,316.2951,3.2219,1.7950,289,289,100.00
A2002273,2002-09-30,MYD11A2,LST_Day_1km,313.9600,323.0800,92216.1094,9.1200,319.0869,3.9272,1.9817,289,289,100.00
A2002281,2002-10-08,MYD11A2,LST_Day_1km,312.0000,320.4000,91387.1875,8.4000,316.2186,4.2448,2.0603,289,289,100.00
A2002289,2002-10-16,MYD11A2,LST_Day_1km,310.6400,318.4400,90867.8203,7.8000,314.4215,4.0025,2.0006,289,289,100.00
A2002297,2002-10-24,MYD11A2,LST_Day_1km,308.5200,317.3000,90557.1406,8.7800,313.3465,3.7143,1.9273,289,289,100.00
A2002305,2002-11-01,MYD11A2,LST_Day_1km,306.4600,313.4800,89749.9688,7.0200,310.5535,2.7594,1.6612,289,289,100.00
A2002313,2002-11-09,MYD11A2,LST_Day_1km,305.2400,313.7400,89498.5547,8.5000,309.6836,4.2401,2.0592,289,289,100.00
A2002321,2002-11-17,MYD11A2,LST_Day_1km,305.8600,312.1200,89430.4922,6.2600,309.4481,2.1632,1.4708,289,289,100.00
A2002329,2002-11-25,MYD11A2,LST_Day_1km,304.0600,312.4000,89111.8906,8.3400,308.3456,3.7476,1.9359,289,289,100.00
A2002337,2002-12-03,MYD11A2,LST_Day_1km,301.5800,308.9800,88286.5312,7.4000,305.4897,2.7025,1.6439,289,289,100.00
A2002345,2002-12-11,MYD11A2,LST_Day_1km,302.0800,310.5800,88708.3750,8.5000,306.9494,3.3706,1.8359,289,289,100.00
A2002353,2002-12-19,MYD11A2,LST_Day_1km,301.8400,308.9400,88298.6406,7.1000,305.5316,2.8000,1.6733,289,289,100.00
A2002361,2002-12-27,MYD11A2,LST_Day_1km,298.1800,306.3400,87351.7109,8.1600,302.2551,3.4342,1.8532,289,289,100.00
A2003001,2003-01-01,MYD11A2,LST_Day_1km,295.7200,302.6600,86361.8750,6.9400,298.8300,1.8909,1.3751,289,289,100.00
A2003009,2003-01-09,MYD11A2,LST_Day_1km,298.7600,306.1400,87402.5000,7.3800,302.4308,2.5552,1.5985,289,289,100.00
A2003017,2003-01-17,MYD11A2,LST_Day_1km,301.5000,309.6200,88301.6953,8.1200,305.5422,3.4520,1.8580,289,289,100.00
A2003025,2003-01-25,MYD11A2,LST_Day_1km,300.1800,307.3000,87680.9531,7.1200,303.3943,2.1120,1.4533,289,289,100.00
A2003033,2003-02-02,MYD11A2,LST_Day_1km,301.5200,308.7000,88232.9766,7.1800,305.3044,3.3103,1.8194,289,289,100.00
A2003041,2003-02-10,MYD11A2,LST_Day_1km,304.1600,311.3000,88967.5703,7.1400,307.8463,3.2574,1.8048,289,289,100.00
A2003049,2003-02-18,MYD11A2,LST_Day_1km,302.4000,310.9400,88718.8906,8.5400,306.9858,5.2565,2.2927,289,289,100.00
A2003057,2003-02-26,MYD11A2,LST_Day_1km,305.3000,312.1600,89134.2422,6.8600,308.4230,2.1183,1.4554,289,289,100.00
A2003065,2003-03-06,MYD11A2,LST_Day_1km,306.3600,315.0000,89847.9609,8.6400,310.8926,3.0216,1.7383,289,289,100.00
A2003073,2003-03-14,MYD11A2,LST_Day_1km,307.9800,315.1600,90081.3047,7.1800,311.7000,2.0315,1.4253,289,289,100.00
