date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2002185,2002-07-04,MYD11A2,LST_Night_1km,293.1000,296.4600,85283.7734,3.3600,295.0995,0.4836,0.6954,289,289,100.00
A2002193,2002-07-12,MYD11A2,LST_Night_1km,296.8800,299.2200,86101.8281,2.3400,297.9302,0.2161,0.4649,289,289,100.00
A2002201,2002-07-20,MYD11A2,LST_Night_1km,290.7200,294.7000,84766.7891,3.9800,293.3107,0.8745,0.9352,289,289,100.00
A2002209,2002-07-28,MYD11A2,LST_Night_1km,291.8200,297.5000,85171.2422,5.6800,295.7335,0.9049,0.9512,289,288,99.65
A2002217,2002-08-05,MYD11A2,LST_Night_1km,,,,,,,,289,0,0.00
A2002225,2002-08-13,MYD11A2,LST_Night_1km,290.9000,296.5800,84104.3516,5.6800,293.0465,1.1635,1.0787,289,287,99.31
A2002233,2002-08-21,MYD11A2,LST_Night_1km,290.7400,295.9000,83889.5781,5.1600,293.3202,1.0988,1.0483,289,286,98.96
A2002241,2002-08-29,MYD11A2,LST_Night_1km,291.5400,297.1400,68543.1484,5.6000,295.4446,1.0389,1.0193,289,232,80.28
A2002249,2002-09-06,MYD11A2,LST_Night_1km,292.6600,295.1800,85000.1641,2.5200,294.1182,0.2214,0.4705,289,289,100.00
A2002257,2002-09-14,MYD11A2,LST_Night_1km,293.3800,296.8400,85382.0859,3.4600,295.4398,0.4293,0.6552,289,289,100.00
A2002265,2002-09-22,MYD11A2,LST_Night_1km,291.5000,297.1400,85359.4297,5.6400,295.3614,0.8310,0.9116,289,289,100.00
A2002273,2002-09-30,MYD11A2,LST_Night_1km,291.3000,298.1800,85315.6797,6.8800,295.2100,2.7934,1.6714,289,289,100.00
A2002281,2002-10-08,MYD11A2,LST_Night_1km,293.5000,297.0800,85429.2109,3.5800,295.6028,0.7180,0.8474,289,289,100.00
A2002289,2002-10-16,MYD11A2,LST_Night_1km,289.0800,295.7000,84617.7188,6.6200,292.7949,2.0559,1.4338,289,289,100.00
A2002297,2002-10-24,MYD11A2,LST_Night_1km,285.4000,293.3800,83745.4453,7.9800,289.7766,2.9997,1.7320,289,289,100.00
A2002305,2002-11-01,MYD11A2,LST_Night_1km,285.0800,293.8800,83648.7109,8.8000,290.4469,3.8367,1.9587,289,288,99.65
A2002313,2002-11-09,MYD11A2,LST_Night_1km,283.1800,290.0400,83228.2656,6.8600,287.9871,1.0540,1.0266,289,289,100.00
