date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2012025,2012-01-25,VNP21A2,LST_Day_1KM,293.2800,306.6400,87267.3516,13.3600,301.9632,6.0752,2.4648,289,289,100.00
A2012033,2012-02-02,VNP21A2,LST_Day_1KM,292.9200,307.8800,87502.4062,14.9600,302.7765,7.2024,2.6837,289,289,100.00
A2012041,2012-02-10,VNP21A2,LST_Day_1KM,294.6800,309.8800,88169.1641,15.2000,305.0836,7.4253,2.7249,289,289,100.00
A2012049,2012-02-18,VNP21A2,LST_Day_1KM,297.0600,315.0200,89549.8047,17.9600,309.8609,9.3062,3.0506,289,289,100.00
A2012057,2012-02-26,VNP21A2,LST_Day_1KM,295.5400,315.9000,89853.1875,20.3600,310.9107,9.8212,3.1339,289,289,100.00
A2012065,2012-03-05,VNP21A2,LST_Day_1KM,295.1800,315.5000,89727.5312,20.3200,310.4759,9.2991,3.0494,289,289,100.00
A2012073,2012-03-13,VNP21A2,LST_Day_1KM,298.9000,320.6600,91232.8516,21.7600,315.6846,10.2122,3.1956,289,289,100.00
A2012081,2012-03-21,VNP21A2,LST_Day_1KM,299.9600,324.0600,91924.5547,24.1000,318.0780,13.3479,3.6535,289,289,100.00
A2012089,2012-03-29,VNP21A2,LST_Day_1KM,305.8000,325.5600,92455.1641,19.7600,319.9141,10.1324,3.1831,289,289,100.00
A2012097,2012-04-06,VNP21A2,LST_Day_1KM,303.2200,329.1400,93120.3359,25.9200,322.2157,12.1516,3.4859,289,289,100.00
A2012105,2012-04-14,VNP21A2,LST_Day_1KM,305.2600,325.2200,92223.4375,19.9600,319.1122,9.5254,3.0863,289,289,100.00
A2012113,2012-04-22,VNP21A2,LST_Day_1KM,303.8000,325.7200,92063.7500,21.9200,318.5597,10.4270,3.2291,289,289,100.00
A2012121,2012-04-30,VNP21A2,LST_Day_1KM,304.1400,328.0200,93121.2656,23.8800,322.2189,10.2550,3.2023,289,289,100.00
A2012129,2012-05-08,VNP21A2,LST_Day_1KM,304.4400,327.4400,92846.8750,23.0000,321.2695,8.3045,2.8818,289,289,100.00
A2012137,2012-05-16,VNP21A2,LST_Day_1KM,305.4200,322.7000,91792.8359,17.2800,317.6223,6.1990,2.4898,289,289,100.00
A2012145,2012-05-24,VNP21A2,LST_Day_1KM,307.7600,330.5000,93612.6094,22.7400,323.9191,10.6899,3.2695,289,289,100.00
A2012153,2012-06-01,VNP21A2,LST_Day_1KM,303.5800,323.2000,91610.4062,19.6200,316.9910,7.5951,2.7559,289,289,100.00
